Full Address,id,lat,lng,adl
TIRUPATI BIZ LINK LLP -GGN SHADRNA VL-VOI,135,28.4489896,76.8227916,6
AarDee Sales,136,28.46255,77.0126434,1
ANEMOI FOOTWEAR LLP,137,28.4668765,77.0916218,1
PATHWAYS RETAIL PRIVATE LIMITED,138,28.3716363,76.8248898,13
FASHIONLIGHT TRADEX PRIVATE LIMITED,139,28.4697692,77.0251409,4
TIMEZ CARE SERVICES PRIVATE LIMITED,140,28.4648189,77.014178,1
PRIMROSE VENTURES,141,28.5085848,77.0905817,1
TRIAR HEALTH & HYGIENE LLP,142,28.3944738,77.3599637,1
Rajpal Trading,143,28.4180298,77.322829,1
N2B CONSUMER PRODUCTS PRIVATE LIMITED,144,28.4498793,77.3269049,1
HEALTHGENIE INDIA PVT LTD,145,28.4996922,77.0770392,4
NHK OFFICE SOLUTIONS,146,28.452918,77.0098808,1
Softek Surya (India) Pvt. Ltd_Haryana,147,28.4228115,77.3101349,1
REVIVE TRADERS,148,28.3973835,77.2769593,1
SHOBHA DESIGNS ONLINE PRIVATE LIMITED,149,28.4343655,77.0027547,1
STARSHOT TOOLS PRIVATE LIMITED,150,28.4462966,77.0301622,1
DHARMANI HEALTH CARE,151,28.4684302,77.0152991,1
TREND ARREST CLOTHING PVT LTD,152,28.4159861,77.0566729,1
FLAGBEARER,153,28.477012,77.002945,3
Wellversed Health Private Limited,154,28.5034647,77.0851838,3
Snytre International,155,28.4187905,77.2940793,5
PRABHUBHAKTI PRIVATE LIMITED,156,28.5040178,77.0865122,1
IVIZ GLOBAL,157,28.4664229,77.0862716,74
MAHADEV ENTERPRISES,158,28.4091001,77.3051845,13
Ray Innovations,159,28.411009,77.318227,1
GNM Retail Enterprises,160,28.5087415,77.0313401,1
Aditya International,161,28.4647412,77.0088453,3
ROSE INTERNATIONAL,162,28.3808485,77.2954091,2
FASHIONLIGHT TRADEX PRIVATE LIMITED,163,28.4697692,77.0251409,2
SUNIDHI LIFESTYLE,164,28.5160739,77.0366159,5
WEBWAY PARCEL SERVICES PRIVATE LIMITED,165,28.4986483,77.0856642,5
Asear Healthcare Private Limited,166,28.4596893,77.0550437,1
NASA TRADING CO,167,28.4234577,77.3109003,1
OSSILITY SERVICES PRIVATE LIMITED,168,28.3312724,77.3578038,1
BABA ELECTRIC & ELECTRONICS,169,28.4445805,76.9929194,1
PH91 CONSUMER GOODS INDIA PRIVATE LIMITED,170,28.3752154,76.9120529,16
MANJU INDUSTRIES,171,28.3458646,77.3195645,1
SHUBHAM ENTERPRISES,172,28.4566204,77.3278885,3
INDUS COSMECEUTICALS PRIVATE LIMITED,173,28.4439111,77.3125928,2
SUN LIGHT ELECTRONICS LLP,174,28.4775758,77.0820378,1
Threads N Ribbons,175,28.4535211,77.0238772,1
DJT RETAILERS PRIVATE LIMITED,176,28.4247451,77.0682139,1
LIVE VAASTU PRIVATE LIMITED,177,28.4938822,77.290046,1
LIMITLESS CORP,178,28.4804714,77.0925172,1
